DEV001,SND011,35,11/10/2020 10:53:00 AM
DEV001,SND012,27.5,11/10/2020 10:53:00 AM
DEV001,SND001,150,11/10/2020 10:48:46 AM
DEV001,SND013,0.112418,11/10/2020 10:53:01 AM
DEV001,SND008,23,11/10/2020 10:53:02 AM
DEV001,SND003,0.0,11/10/2020 10:53:02 AM
DEV001,SND001,0.0,11/10/2020 10:53:02 AM
DEV001,SND002,0.0,11/10/2020 10:53:02 AM
DEV001,SND014,0.0,11/10/2020 10:53:02 AM
DEV001,SND006,0.0,11/10/2020 10:53:02 AM
DEV001,SND004,0.0,11/10/2020 10:53:02 AM
DEV001,SND005,0.0,11/10/2020 10:53:02 AM
DEV001,SND015,0.0,11/10/2020 10:53:02 AM
DEV001,SND007,203.6002,11/10/2020 10:53:02 AM
DEV001,SND009,0,11/10/2020 10:53:04 AM
DEV001,SND010,27,11/10/2020 10:53:00 AM
DEV001,SND003,0.0,11/10/2020 10:53:06 AM
DEV001,SND001,0.0,11/10/2020 10:53:06 AM
DEV001,SND002,0.0,11/10/2020 10:53:06 AM
DEV001,SND014,0.0,11/10/2020 10:53:06 AM
DEV001,SND006,0.0,11/10/2020 10:53:06 AM
DEV001,SND004,0.0,11/10/2020 10:53:06 AM
DEV001,SND005,0.0,11/10/2020 10:53:06 AM
DEV001,SND015,0.0,11/10/2020 10:53:06 AM
DEV001,SND007,203.6002,11/10/2020 10:53:06 AM
DEV001,SND010,27,11/10/2020 10:53:07 AM
DEV001,SND011,35,11/10/2020 10:53:07 AM
DEV001,SND012,27.5,11/10/2020 10:53:07 AM
DEV001,SND013,0.116813,11/10/2020 10:53:07 AM
DEV001,SND009,0,11/10/2020 10:53:08 AM
DEV001,SND008,24,11/10/2020 10:53:08 AM
DEV001,SND010,27,11/10/2020 10:53:09 AM
DEV001,SND011,35,11/10/2020 10:53:09 AM
DEV001,SND012,28,11/10/2020 10:53:09 AM
DEV001,SND013,0.115348,11/10/2020 10:53:09 AM
DEV001,SND015,0.0,11/10/2020 10:52:59 AM
DEV001,SND001,0.0,11/10/2020 10:53:10 AM
DEV001,SND002,0.0,11/10/2020 10:53:10 AM
DEV001,SND014,0.0,11/10/2020 10:53:10 AM
